hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
24435,,A,14.62,12.39,12.39,3.05,30.06,30.06,33.4009,1004.03,1004.03
24470,,A,8.71,8.56,8.56,1.85,19.12,19.12,33.4009,638.63,638.63
24495,,A,8.2,17.2,17.2,1.74,27.14,27.14,33.4009,906.5,906.5
24498,,A,11.97,9.53,9.53,2.52,24.02,24.02,33.4009,802.29,802.29
24500,,A,3.32,8.41,6.42,0.7,12.43,10.44,33.4009,415.17,348.71
24505,,A,5.26,10.98,7.73,1.19,17.43,14.18,33.4009,582.18,473.62
24515,,A,11.82,10.33,10.33,2.47,24.62,24.62,33.4009,822.33,822.33
24516,,A,11.89,9.49,9.49,2.5,23.88,23.88,33.4009,797.61,797.61
24530,,A,3.6,8.65,6.41,0.75,13.0,10.76,33.4009,434.21,359.39
24535,,A,6.93,12.26,8.51,1.47,20.66,16.91,33.4009,690.06,564.81
24538,,A,9.53,10.94,10.94,2.04,22.51,22.51,33.4009,751.85,751.85
24545,,A,12.82,10.27,10.27,2.67,25.76,25.76,33.4009,860.41,860.41
24546,,A,14.54,11.01,11.01,3.0,28.55,28.55,33.4009,953.6,953.6
24560,,A,2.91,8.17,6.05,0.62,11.7,9.58,33.4009,390.79,319.98
24565,,A,5.64,11.16,7.74,1.21,18.01,14.59,33.4009,601.55,487.32
24566,,A,8.83,9.97,9.97,1.88,20.68,20.68,33.4009,690.73,690.73
24575,,A,9.47,9.39,9.39,1.94,20.8,20.8,33.4009,694.74,694.74
24576,,A,2.98,8.65,6.49,0.64,12.27,10.11,33.4009,409.83,337.68
24577,,A,5.86,11.39,7.81,1.25,18.5,14.92,33.4009,617.92,498.34
24579,,A,11.15,9.91,9.91,2.3,23.36,23.36,33.4009,780.25,780.25
24582,,A,9.89,11.45,11.45,2.1,23.44,23.44,33.4009,782.92,782.92
24586,,A,15.39,11.09,11.09,3.14,29.62,29.62,33.4009,989.33,989.33
24587,,A,15.4,11.25,11.25,3.27,29.92,29.92,33.4009,999.35,999.35
24600,,A,4.26,8.99,6.76,1.02,14.27,12.04,33.4009,476.63,402.15
24605,,A,5.5,7.65,7.65,1.2,14.35,14.35,33.4009,479.3,479.3
24615,,A,9.58,8.36,8.36,1.96,19.9,19.9,33.4009,664.68,664.68
24620,,A,7.04,8.47,8.47,1.49,17.0,17.0,33.4009,567.82,567.82
24635,,A,8.58,8.84,8.84,1.74,19.16,19.16,33.4009,639.96,639.96
24640,,A,1.22,1.83,0.85,0.07,3.12,2.14,33.4009,104.21,71.48
24650,,A,2.25,6.33,5.04,0.45,9.03,7.74,33.4009,301.61,258.52
24655,,A,4.5,10.42,7.7,1.03,15.95,13.23,33.4009,532.74,441.89
24665,,A,8.15,8.84,8.84,1.64,18.63,18.63,33.4009,622.26,622.26
24666,,A,9.61,8.95,8.95,1.95,20.51,20.51,33.4009,685.05,685.05
24670,,A,2.62,6.92,5.27,0.54,10.08,8.43,33.4009,336.68,281.57
24675,,A,4.79,9.67,6.88,1.01,15.47,12.68,33.4009,516.71,423.52
24685,,A,8.16,8.8,8.8,1.67,18.63,18.63,33.4009,622.26,622.26
24800,,A,11.12,9.89,9.89,2.37,23.38,23.38,33.4009,780.91,780.91
24802,,A,13.96,10.8,10.8,2.98,27.74,27.74,33.4009,926.54,926.54
24900,,A,9.93,9.52,9.52,2.11,21.56,21.56,33.4009,720.12,720.12
24920,,A,9.88,8.59,8.59,2.1,20.57,20.57,33.4009,687.06,687.06
24925,,A,7.12,7.71,7.71,1.5,16.33,16.33,33.4009,545.44,545.44
24930,,A,10.56,8.81,8.81,2.25,21.62,21.62,33.4009,722.13,722.13
24931,,A,13.1,9.81,9.81,2.78,25.69,25.69,33.4009,858.07,858.07
24935,,A,16.04,14.6,14.6,3.41,34.05,34.05,33.4009,1137.3,1137.3
25000,,A,3.46,6.07,6.07,0.66,10.19,10.19,33.4009,340.36,340.36
25001,,A,3.7,5.83,5.83,0.69,10.22,10.22,33.4009,341.36,341.36
25020,,A,5.91,14.56,14.56,1.14,21.61,21.61,33.4009,721.79,721.79
25023,,A,13.48,21.62,21.62,2.74,37.84,37.84,33.4009,1263.89,1263.89
25024,,A,10.52,9.05,9.05,2.19,21.76,21.76,33.4009,726.8,726.8
25025,,A,17.49,12.45,12.45,3.72,33.66,33.66,33.4009,1124.27,1124.27
25028,,A,5.26,14.27,14.27,1.07,20.6,20.6,33.4009,688.06,688.06
25031,,A,4.15,5.86,5.86,0.89,10.9,10.9,33.4009,364.07,364.07
25035,,A,7.46,7.82,7.82,1.59,16.87,16.87,33.4009,563.47,563.47
25040,,A,7.31,6.95,6.95,1.45,15.71,15.71,33.4009,524.73,524.73
25065,,A,1.99,5.57,2.1,0.28,7.84,4.37,33.4009,261.86,145.96
25066,,A,4.16,5.75,5.75,0.82,10.73,10.73,33.4009,358.39,358.39
25071,,A,5.76,5.07,5.07,1.28,12.11,12.11,33.4009,404.48,404.48
25073,,A,6.95,6.79,6.79,1.47,15.21,15.21,33.4009,508.03,508.03
25075,,A,3.86,11.87,4.51,0.81,16.54,9.18,33.4009,552.45,306.62
25076,,A,6.57,6.83,6.83,1.3,14.7,14.7,33.4009,490.99,490.99
25077,,A,12.61,8.9,8.9,3.36,24.87,24.87,33.4009,830.68,830.68
25078,,A,17.25,11.26,11.26,3.89,32.4,32.4,33.4009,1082.19,1082.19
25085,,A,5.5,6.2,6.2,1.06,12.76,12.76,33.4009,426.2,426.2
25100,,A,3.92,5.63,5.63,0.84,10.39,10.39,33.4009,347.04,347.04
25101,,A,4.71,6.11,6.11,0.92,11.74,11.74,33.4009,392.13,392.13
25105,,A,5.87,6.89,6.89,1.14,13.9,13.9,33.4009,464.27,464.27
25107,,A,7.51,8.64,8.64,1.45,17.6,17.6,33.4009,587.86,587.86
25109,,A,6.77,7.09,7.09,1.29,15.15,15.15,33.4009,506.02,506.02
25110,,A,3.94,5.39,5.39,0.78,10.11,10.11,33.4009,337.68,337.68
25111,,A,3.44,5.51,5.51,0.66,9.61,9.61,33.4009,320.98,320.98
25112,,A,4.55,5.86,5.86,0.88,11.29,11.29,33.4009,377.1,377.1
25115,,A,9.84,9.34,9.34,1.88,21.06,21.06,33.4009,703.42,703.42
25116,,A,7.37,8.32,8.32,1.41,17.1,17.1,33.4009,571.16,571.16
